"","Obs_Index","Behavior","Initiator_ID","Recipient_ID","Score","Notes","Initiator_Gender","Recipient_Gender","Initiator_Age_Group","Initiator_Age","Recipient_Age_Group","Recipient_Age","Initiator_Age_cut","Recipient_Age_cut","Initiator_To_Recipient","lumped_behavior","refined_behavior","y","init_id","recp_id","init_g","recp_g","init_age_z","recp_age_z"
"845",103,"request for sharing","494","172","0.5",NA,"M","F","child",4,"child",7,"(3,6]","(6,9]","Younger","request for sharing","request for sharing_0.5",37,77,18,0,1,-0.587153106854854,0.874022291727172
"846",103,"sharing","172","494","0.0",NA,"F","M","child",7,"child",4,"(6,9]","(3,6]","Older","sharing_0.0","sharing_0.0",40,16,86,1,0,0.767815601271733,-0.410960403785166
"848",103,"physical aggression","240","49","0.5","only once","F","M","child",6,"child",6,"(3,6]","(3,6]","Same","Z","physical aggression_0.5",52,135,19,1,0,0.316159365229537,0.445694726556393
"849",103,"taking","494","172","0.5","quit trying after this","M","F","child",4,"child",7,"(3,6]","(6,9]","Younger","taking","taking_0.5",46,77,18,0,1,-0.587153106854854,0.874022291727172
"850",103,"physical aggression","179","172","0.5","walked away","M","F","child",3,"child",7,"(0,3]","(6,9]","Younger","Z","physical aggression_0.5",52,83,18,0,1,-1.03880934289705,0.874022291727172
"851",103,"verbal aggression","172","179","0.5","yell","F","M","child",7,"child",3,"(6,9]","(0,3]","Older","verbal aggression","verbal aggression_0.5",51,16,90,1,0,0.767815601271733,-0.839287968955946
"852",104,"request for sharing","206","145","1.0",NA,"M","M","child",5,"child",5,"(3,6]","(3,6]","Same","request for sharing","request for sharing_1.0",37,4,35,0,0,-0.135496870812659,0.0173671613856132
"853",104,"sharing","145","206","0.0",NA,"M","M","child",5,"child",5,"(3,6]","(3,6]","Same","sharing_0.0","sharing_0.0",40,33,5,0,0,-0.135496870812659,0.0173671613856132
"854",104,"request for sharing","494","145","0.5",NA,"M","M","child",4,"child",5,"(3,6]","(3,6]","Younger","request for sharing","request for sharing_0.5",37,77,35,0,0,-0.587153106854854,0.0173671613856132
"855",104,"sharing","145","494","0.0",NA,"M","M","child",5,"child",4,"(3,6]","(3,6]","Older","sharing_0.0","sharing_0.0",40,33,86,0,0,-0.135496870812659,-0.410960403785166
"856",104,"request for help","494","493","0.5",NA,"M","M","child",4,"child",7,"(3,6]","(6,9]","Younger","request for help","request for help_0.5",33,77,60,0,0,-0.587153106854854,0.874022291727172
"857",104,"leading","493","494","0.5",NA,"M","M","child",7,"child",4,"(6,9]","(3,6]","Older","leading","leading_0.5",16,55,86,0,0,0.767815601271733,-0.410960403785166
"858",104,"following","494","493","0.5",NA,"M","M","child",4,"child",7,"(3,6]","(6,9]","Younger","following","following_0.5",6,77,60,0,0,-0.587153106854854,0.874022291727172
"859",104,"request for sharing","493","145","1.0",NA,"M","M","child",7,"child",5,"(6,9]","(3,6]","Older","request for sharing","request for sharing_1.0",37,55,35,0,0,0.767815601271733,0.0173671613856132
"860",104,"sharing","145","493","1.0",NA,"M","M","child",5,"child",7,"(3,6]","(6,9]","Younger","sharing","sharing_1.0",39,33,60,0,0,-0.135496870812659,0.874022291727172
