"","mean","sd","2.5%","97.5%","n_eff","Rhat4","combined"
"z_recp_id[18,126]",0.234914363988333,0.983432205832565,-1.687669,2.1487085,26408.9289721818,0.9999999083621,"0.235 (0.983)"
"z_recp_id[18,127]",-0.0123142320127734,1.00017789593088,-1.9634215,1.9439105,28651.1794605832,0.999885699413211,"-0.012 (1)"
"z_recp_id[18,128]",0.0500108537714133,0.99031393626706,-1.901293,1.99873,30493.0161362296,0.999842030106276,"0.05 (0.99)"
"z_recp_id[18,129]",0.165168800556407,0.992555672388592,-1.79804,2.08751225,30697.9657490427,0.999862897401402,"0.165 (0.993)"
"z_recp_id[18,130]",0.0337540114865334,0.985529488973095,-1.8872725,1.95048925,30447.0459467917,0.999943138422998,"0.034 (0.986)"
"z_recp_id[18,131]",-0.0216073658777546,0.977786151571283,-1.913915,1.87505825,28653.8320019531,0.999938759141914,"-0.022 (0.978)"
"z_recp_id[18,132]",0.0933850139733333,0.991711299819534,-1.86543575,2.03830225,27111.2923659514,0.99981966544922,"0.093 (0.992)"
"z_recp_id[18,133]",-0.0534831361937333,1.01398140821444,-2.04276975,1.90822575,31736.3816133706,0.999902124393341,"-0.053 (1.014)"
"z_recp_id[18,134]",-0.24665481310678,0.982416966483089,-2.1385415,1.67373275,22421.0808661594,0.999906200735303,"-0.247 (0.982)"
"z_recp_id[18,135]",-0.07152389843754,0.999804234293589,-2.01858725,1.890087,28026.8747008005,0.999843083591092,"-0.072 (1)"
"z_recp_id[18,136]",0.204619151507733,0.993024412673477,-1.75577375,2.11779175,28193.0126075856,0.999866134001388,"0.205 (0.993)"
"z_recp_id[18,137]",-0.10448346436706,0.992508430999532,-2.070279,1.82732725,31709.5654308675,0.999954252655094,"-0.104 (0.993)"
"z_recp_id[18,138]",-0.0762006545173466,0.989715730956462,-2.026391,1.8761715,28704.7770017639,0.999879074324421,"-0.076 (0.99)"
"z_recp_id[18,139]",-0.0255944310867,1.00164254189249,-1.975321,1.94063325,28134.294567721,0.999865965497345,"-0.026 (1.002)"
"z_recp_id[18,140]",-0.00593271625211998,0.991796556622151,-1.92823375,1.945338,29189.1728399767,0.999947787785051,"-0.006 (0.992)"
"z_recp_id[18,141]",-0.0328884453953334,0.988206141204133,-1.97689275,1.8955845,29879.734990433,0.999814808038778,"-0.033 (0.988)"
"z_recp_id[18,142]",-0.0250397054190466,0.988050439788643,-1.95525275,1.896998,29774.9838443632,0.999855265158568,"-0.025 (0.988)"
"z_recp_id[18,143]",-0.01209951601716,1.00169354161412,-1.98814075,1.96559375,30001.3940675804,0.999930137577049,"-0.012 (1.002)"
"z_recp_id[18,144]",-0.102751570876247,1.00935405904358,-2.04665375,1.8580945,27871.9564395171,0.999832597571693,"-0.103 (1.009)"
"z_recp_id[18,145]",-0.058048713801,0.987579103804827,-1.99907975,1.89008975,28530.9777311684,0.999909275033131,"-0.058 (0.988)"
"z_recp_id[18,146]",0.00147958200060003,1.00462315581143,-1.98721175,1.98758725,30631.0907147151,0.999886546876236,"0.001 (1.005)"
"z_recp_id[18,147]",0.178330872508383,0.976695139895741,-1.7733845,2.1004375,24644.5919246672,0.999900157498529,"0.178 (0.977)"
"z_recp_id[18,148]",0.441453170913133,0.994334780868552,-1.52913575,2.375159,20674.932151728,0.999964350416657,"0.441 (0.994)"
"z_recp_id[18,149]",0.0897289805529187,0.993357850527266,-1.8824865,2.02961875,29010.881803716,0.99986752721624,"0.09 (0.993)"
"z_recp_id[18,150]",0.0930926549194,1.00153414639792,-1.84970425,2.0356425,31439.8197442348,0.999849228132305,"0.093 (1.002)"
"z_recp_id[18,151]",-0.0880943127436,0.991286023285519,-2.0696165,1.87259675,27836.6624208736,0.999831729824845,"-0.088 (0.991)"
"z_recp_id[18,152]",-0.0332290538763066,0.986762118741846,-1.9534995,1.90876,29623.6542199504,0.999968600888208,"-0.033 (0.987)"
"z_recp_id[18,153]",0.108779218222333,1.01004079820905,-1.893478,2.11838,30394.2637934315,0.999877167422011,"0.109 (1.01)"
"z_recp_id[18,154]",-0.05167045568338,1.01231807793857,-2.02944675,1.9004735,29661.902032207,0.999879708039332,"-0.052 (1.012)"
"z_recp_id[18,155]",-0.210778956764461,0.984800588703107,-2.13748525,1.73931725,25154.5336923341,1.00009090546121,"-0.211 (0.985)"
"z_recp_id[18,156]",0.394258981216413,1.00793316795397,-1.60205825,2.345326,21185.3085123278,0.99992855439352,"0.394 (1.008)"
"z_recp_id[18,157]",-0.0292167656700333,0.991358059601082,-1.949561,1.89760825,29057.9774217075,1.00000842676642,"-0.029 (0.991)"
